dispatching_base_number,date,month,active_vehicles,trips
B02512,01-01-2015,January,190,1132
B02765,01-01-2015,January,225,1765
B02764,01-01-2015,January,3427,29421
B02682,01-01-2015,January,945,7679
B02617,01-01-2015,January,1228,9537
B02598,01-01-2015,January,870,6903
B02765,13-01-2015,January,258,1697
B02598,14-01-2015,January,975,8713
B02617,15-01-2015,January,1342,11825
B02512,16-01-2015,January,234,1652
B02764,17-01-2015,January,3658,29983
B02682,18-01-2015,January,1092,9629
B02764,19-01-2015,January,3736,29550
B02765,20-01-2015,January,271,1600
B02598,21-01-2015,January,1030,8870
B02512,22-01-2015,January,233,1582
B02617,23-01-2015,January,1405,11965
B02682,24-01-2015,January,1174,9762
B02512,25-01-2015,January,237,1636
B02682,26-01-2015,January,1208,10391
B02617,27-01-2015,January,1457,12539
B02765,28-01-2015,January,270,1797
B02764,29-01-2015,January,3840,31214
B02598,30-01-2015,January,1068,9152
B02617,31-01-2015,January,1445,12977
B02598,01-02-2015,February,785,4768
B02617,01-02-2015,February,1137,7065
B02512,01-02-2015,February,175,875
B02682,01-02-2015,February,890,5506
B02765,01-02-2015,February,196,1001
B02764,01-02-2015,February,3147,19974
B02765,01-02-2015,February,290,2082
B02764,02-02-2015,February,3975,34822
B02682,03-02-2015,February,1250,11280
B02512,04-02-2015,February,234,1481
B02598,05-02-2015,February,1079,9838
B02598,06-02-2015,February,974,9546
B02512,07-02-2015,February,201,1281
B02682,08-02-2015,February,1137,11382
B02765,09-02-2015,February,252,2160
B02617,10-02-2015,February,1306,12676
B02764,11-02-2015,February,3657,36318
B02512,12-02-2015,February,177,1521
B02598,13-02-2015,February,869,9443
B02765,14-02-2015,February,248,2287
B02764,15-02-2015,February,3290,35182
B02682,16-02-2015,February,1056,11161
B02617,17-02-2015,February,1223,12879
B02682,18-02-2015,February,883,7028
B02617,19-02-2015,February,992,7775
B02765,20-02-2015,February,238,1568
B02764,21-02-2015,February,2958,22750
B02512,22-02-2015,February,168,1025
B02598,23-02-2015,February,706,5609
B02598,24-02-2015,February,944,7206
B02682,25-02-2015,February,1151,8496
B02512,26-02-2015,February,221,1310
B02764,27-02-2015,February,3654,26137
B02764,27-02-2015,February,4253,38780
B02765,28-02-2015,February,272,1608
B02682,28-02-2015,February,1510,14975
B02765,01-03-2015,March,201,1526
B02617,01-03-2015,March,1188,10664
B02598,01-03-2015,March,818,7432
B02682,01-03-2015,March,915,8010
B02512,01-03-2015,March,173,1088
B02764,01-03-2015,March,3215,29729
B02617,01-03-2015,March,1350,10015
B02598,01-03-2015,March,994,10319
B02764,02-03-2015,March,3718,27344
B02764,02-03-2015,March,3952,39812
B02512,03-03-2015,March,242,1519
B02617,03-03-2015,March,1372,14022
B02682,04-03-2015,March,1228,9472
B02682,04-03-2015,March,1386,14472
B02598,05-03-2015,March,1035,8041
B02512,05-03-2015,March,230,1803
B02765,06-03-2015,March,296,1774
B02765,06-03-2015,March,747,7753
B02617,07-03-2015,March,1429,10997
B02617,08-03-2015,March,1471,12143
B02764,09-03-2015,March,3889,30091
B02512,10-03-2015,March,246,1551
B02598,11-03-2015,March,1071,9080
B02682,12-03-2015,March,1295,10699
B02765,13-03-2015,March,295,2038
B02598,14-03-2015,March,1093,9343
B02512,15-03-2015,March,246,1670
B02765,16-03-2015,March,299,2162
B02764,17-03-2015,March,4040,33756
B02617,18-03-2015,March,1482,13121
B02682,19-03-2015,March,1330,11767
B02598,20-03-2015,March,945,10040
B02764,21-03-2015,March,3652,39187
B02512,22-03-2015,March,211,1608
B02617,23-03-2015,March,1367,14143
B02682,24-03-2015,March,1223,13355
B02765,25-03-2015,March,245,2376
B02512,26-03-2015,March,183,1190
B02764,27-03-2015,March,3300,28066
B02765,28-03-2015,March,226,1755
B02598,29-03-2015,March,829,7219
B02682,30-03-2015,March,1046,9303
B02617,31-03-2015,March,1203,10362
B02512,01-04-2015,April,147,791
B02682,01-04-2015,April,812,5621
B02598,01-04-2015,April,746,5223
B02765,01-04-2015,April,183,993
B02617,01-04-2015,April,1088,7729
B02764,01-04-2015,April,2862,20441
B02617,01-04-2015,April,1150,7608
B02598,02-04-2015,April,860,5919
B02765,03-04-2015,April,230,1363
B02764,04-04-2015,April,3012,19940
B02682,05-04-2015,April,1084,7565
B02512,06-04-2015,April,197,1000
B02682,07-04-2015,April,600,4414
B02765,08-04-2015,April,135,921
B02617,09-04-2015,April,596,4325
B02598,10-04-2015,April,434,2957
B02512,11-04-2015,April,112,629
B02764,12-04-2015,April,1619,11998
B02764,13-04-2015,April,3692,28137
B02682,14-04-2015,April,1235,10025
B02765,15-04-2015,April,286,1913
B02617,16-04-2015,April,1356,10862
B02598,17-04-2015,April,1011,8071
B02512,18-04-2015,April,235,1438
B02617,19-04-2015,April,1474,12600
B02764,20-04-2015,April,3959,31637
B02682,21-04-2015,April,1316,11485
B02765,22-04-2015,April,295,2086
B02512,23-04-2015,April,250,1687
B02598,24-04-2015,April,1082,9499
B02512,25-04-2015,April,256,2016
B02617,26-04-2015,April,1501,14793
B02682,27-04-2015,April,1384,13852
B02764,28-04-2015,April,4124,39110
B02765,29-04-2015,April,322,2785
B02598,30-04-2015,April,1106,11167
B02512,01-05-2015,May,194,984
B02682,01-05-2015,May,951,6012
B02617,01-05-2015,May,1218,7899
B02764,01-05-2015,May,3387,20926
B02598,01-05-2015,May,907,5798
B02765,01-05-2015,May,227,1133
B02765,01-05-2015,May,309,3282
B02512,02-05-2015,May,225,1892
B02617,03-05-2015,May,1394,15756
B02682,04-05-2015,May,1321,15388
B02764,05-05-2015,May,3947,44297
B02598,06-05-2015,May,1027,11642
B02598,07-05-2015,May,961,9499
B02682,08-05-2015,May,1214,12436
B02512,09-05-2015,May,193,1377
B02765,10-05-2015,May,289,2672
B02617,11-05-2015,May,1355,13458
B02764,12-05-2015,May,3740,37468
B02617,13-05-2015,May,1217,12216
B02682,14-05-2015,May,1152,11981
B02765,15-05-2015,May,275,2607
B02598,16-05-2015,May,939,9511
B02764,17-05-2015,May,3270,30761
B02512,18-05-2015,May,227,1904
B02765,19-05-2015,May,299,2410
B02598,20-05-2015,May,991,9602
B02512,21-05-2015,May,257,1915
B02764,22-05-2015,May,3674,31641
B02617,23-05-2015,May,1350,12665
B02682,24-05-2015,May,1269,11955
B02764,25-05-2015,May,3856,29994
B02765,26-05-2015,May,309,2334
B02512,27-05-2015,May,244,1639
B02682,28-05-2015,May,1311,11309
B02617,29-05-2015,May,1393,11959
B02598,30-05-2015,May,1072,9600
B02617,31-05-2015,May,1524,14499
B02764,01-06-2015,June,3473,25301
B02682,01-06-2015,June,1022,7491
B02617,01-06-2015,June,1336,10128
B02765,01-06-2015,June,234,1376
B02512,01-06-2015,June,218,1314
B02598,01-06-2015,June,933,6816
B02682,01-06-2015,June,1418,13782
B02598,02-06-2015,June,1179,11609
B02512,03-06-2015,June,264,2022
B02765,04-06-2015,June,355,3011
B02764,05-06-2015,June,4093,35990
B02617,06-06-2015,June,1526,15417
B02765,07-06-2015,June,385,3569
B02598,08-06-2015,June,1181,11897
B02512,09-06-2015,June,261,1989
B02764,10-06-2015,June,4170,38693
B02682,11-06-2015,June,1414,14375
B02598,12-06-2015,June,1031,10512
B02512,13-06-2015,June,211,1504
B02617,14-06-2015,June,1383,13688
B02682,15-06-2015,June,1300,13450
B02764,16-06-2015,June,3849,38530
B02765,17-06-2015,June,345,3473
B02764,18-06-2015,June,3422,29692
B02765,19-06-2015,June,313,2623
B02598,20-06-2015,June,923,8129
B02617,21-06-2015,June,1256,11004
B02682,22-06-2015,June,1136,10356
B02512,23-06-2015,June,176,1196
B02617,24-06-2015,June,1312,10887
B02682,25-06-2015,June,1241,10209
B02598,26-06-2015,June,976,8135
B02764,27-06-2015,June,3543,28266
B02512,28-06-2015,June,228,1565
B02765,29-06-2015,June,388,2894
B02764,30-06-2015,June,3700,29124
B02617,01-07-2015,July,1363,11528
B02682,01-07-2015,July,1039,9078
B02764,01-07-2015,July,3603,29949
B02765,01-07-2015,July,248,1704
B02512,01-07-2015,July,217,1446
B02598,01-07-2015,July,974,8397
B02512,01-07-2015,July,233,1555
B02617,02-07-2015,July,1364,11401
B02765,03-07-2015,July,422,3432
B02682,04-07-2015,July,1281,10536
B02598,05-07-2015,July,1029,8718
B02617,06-07-2015,July,1450,12749
B02764,07-07-2015,July,3849,31889
B02512,08-07-2015,July,255,1831
